manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,4.61,2,0,0,1,2,14.6,0,0,66.0,-2.2,59.0,1,3,24
Volkswagen,85,1.66,3,1,1,1,3,8.3,0,0,59.0,-8.5,20.0,6,0,29
Volkswagen,85,1.98,2,1,0,0,2,13.2,0,0,39.0,-3.6,15.0,3,1,7
Volkswagen,85,1.94,2,1,1,1,3,9.7,0,0,37.0,-7.1,20.0,11,4,25
Volkswagen,85,0.35,2,1,0,0,3,17.8,0,0,15.0,1.0,2.0,4,1,5
Volkswagen,85,11.7,3,1,0,1,2,13.0,0,0,60.0,-3.8,90.0,8,5,5
Volkswagen,85,13.53,3,0,1,0,2,15.4,0,0,68.0,-1.4,48.0,9,4,8
Volkswagen,85,3.58,3,1,1,1,2,17.9,0,0,47.0,1.1,20.0,5,2,27
Volkswagen,85,15.44,3,0,1,0,2,11.3,0,0,69.0,-5.5,34.0,9,3,21
Volkswagen,85,9.7,2,1,1,1,3,18.3,1,0,42.0,1.5,53.0,1,5,17
Volkswagen,85,0.58,2,1,0,0,2,14.5,0,0,28.0,-2.3,4.0,11,6,6
Volkswagen,85,1.4,3,1,1,1,2,7.6,0,0,49.0,-9.2,19.0,6,2,7
Volkswagen,85,3.4,3,1,1,1,2,16.8,0,0,50.0,0.0,20.0,7,4,28
Volkswagen,85,1.8,2,1,1,1,3,9.0,0,0,50.0,-7.8,20.0,12,0,12
Volkswagen,85,6.62,3,0,1,0,1,12.7,0,0,75.0,-4.1,126.0,9,3,14
Volkswagen,85,4.2,3,1,1,1,1,21.0,0,0,43.0,4.2,20.0,8,2,26
Volkswagen,85,4.49,2,1,0,1,3,15.5,0,1,39.0,-1.3,29.0,11,3,26
Volkswagen,85,1.78,2,1,1,1,3,8.9,0,1,42.0,-7.9,20.0,11,0,9
Volkswagen,85,1.98,2,1,1,1,2,9.9,0,0,45.0,-6.9,20.0,1,0,12
Volkswagen,85,3.6,2,1,1,1,2,18.2,0,0,40.0,1.4,20.0,12,3,21
Volkswagen,85,1.55,3,0,1,0,2,12.7,0,0,59.0,-4.1,46.0,9,0,4
Volkswagen,85,9.86,3,0,1,0,2,12.9,0,0,65.0,-3.9,25.0,8,1,14
Volkswagen,85,0.29,2,1,0,0,2,9.8,0,0,29.0,-7.0,3.0,2,6,26
Volkswagen,85,3.0,3,1,1,1,2,15.9,0,0,49.0,-0.9,19.0,8,4,10
Volkswagen,85,11.11,2,0,1,0,2,13.6,0,1,76.0,-3.2,47.0,3,0,26
Volkswagen,85,2.0,2,1,1,1,3,10.0,0,0,49.0,-6.8,20.0,2,1,2
Volkswagen,85,0.7,3,1,0,0,2,10.0,0,0,18.0,-6.8,7.0,4,6,26
Volkswagen,85,23.5,2,0,1,0,2,12.9,0,0,55.0,-3.9,182.0,1,5,27
Volkswagen,85,3.86,2,1,1,1,2,19.3,0,0,49.0,2.5,20.0,1,4,29
Volkswagen,85,6.11,2,1,0,1,2,13.0,0,0,33.0,-3.8,47.0,1,5,28
Volkswagen,85,1.3,3,1,1,1,2,7.0,0,0,50.0,-9.8,19.0,7,3,27
Volkswagen,85,2.37,3,0,1,0,2,14.6,0,1,73.0,-2.2,45.0,11,3,2
Volkswagen,85,3.41,3,0,1,0,2,12.1,0,0,67.0,-4.7,118.0,9,3,27
Volkswagen,85,2.43,2,1,1,1,3,10.6,0,1,40.0,-6.2,23.0,10,3,22
Volkswagen,85,3.7,2,1,1,1,3,18.5,0,0,43.0,1.7,20.0,12,1,1
Volkswagen,85,0.1,3,1,0,0,2,11.7,0,0,17.0,-5.1,1.0,7,4,6
Volkswagen,85,1.8,3,1,1,1,2,9.7,0,0,45.0,-7.1,19.0,8,0,13
Volkswagen,85,3.5,2,1,1,1,2,17.5,0,0,45.0,0.7,20.0,11,3,8
Volkswagen,85,3.7,2,1,1,1,2,18.5,0,0,50.0,1.7,20.0,10,1,30
Volkswagen,85,3.32,3,1,1,1,2,16.6,0,0,47.0,-0.2,20.0,8,3,6
Volkswagen,85,2.67,3,1,0,1,2,8.1,0,0,40.0,-8.7,33.0,7,3,23
